id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
0,W,Bayern Munich 2019-2020,11.0,11.0,0.0,0.0,43.0,8.0,35.0,33.0,35.5,10.2,25.3,2.3,50.0,Robert Lewandowski-,Manuel Neuer
1,F,Paris S-G 2019-2020,11.0,8.0,1.0,2.0,25.0,6.0,19.0,25.0,26.2,12.3,13.9,1.27,28.058,"Mauro Icardi,Kylian Mbappé-",Keylor Navas
2,SF,RB Leipzig 2019-2020,10.0,6.0,2.0,2.0,16.0,12.0,4.0,20.0,18.0,13.0,5.0,0.5,32.347,"Timo Werner,Marcel Sabitzer... -",Péter Gulácsi
3,SF,Lyon 2019-2020,10.0,4.0,2.0,4.0,14.0,14.0,0.0,14.0,12.7,18.4,-5.7,-0.57,41.78,Memphis-,Anthony Lopes
4,QF,Manchester City 2019-2020,9.0,6.0,2.0,1.0,21.0,9.0,12.0,20.0,25.1,7.9,17.2,1.91,37.594,"Raheem Sterling,Gabriel Jesus-",Ederson
5,QF,Barcelona 2019-2020,9.0,5.0,3.0,1.0,15.0,14.0,1.0,18.0,14.4,17.9,-3.5,-0.39,60.809,Luis Suárez-,Marc-André ter Stegen
6,QF,Atlético Madrid 2019-2020,9.0,5.0,1.0,3.0,13.0,9.0,4.0,16.0,15.3,9.1,6.1,0.68,62.232,"Álvaro Morata,João Félix-",Jan Oblak
7,QF,Atalanta 2019-2020,9.0,4.0,1.0,4.0,17.0,18.0,-1.0,13.0,17.7,18.9,-1.2,-0.14,32.77,Josip Iličić-,Pierluigi Gollini
8,R16,Juventus 2019-2020,8.0,6.0,1.0,1.0,14.0,6.0,8.0,19.0,12.0,10.9,1.2,0.15,28.39,Cristiano Ronaldo-,Wojciech Szczęsny
9,R16,Napoli 2019-2020,8.0,3.0,4.0,1.0,13.0,8.0,5.0,13.0,14.9,11.0,3.9,0.48,34.598,Dries Mertens-,Alex Meret
10,R16,Liverpool 2019-2020,8.0,4.0,1.0,3.0,15.0,12.0,3.0,13.0,16.2,8.8,7.4,0.92,52.312,Mohamed Salah-,Alisson
11,R16,Dortmund 2019-2020,8.0,4.0,1.0,3.0,10.0,11.0,-1.0,13.0,14.4,13.1,1.4,0.17,65.844,Achraf Hakimi-,Roman Bürki
12,R16,Real Madrid 2019-2020,8.0,3.0,2.0,3.0,16.0,12.0,4.0,11.0,16.6,13.7,2.8,0.36,70.438,Karim Benzema-,Thibaut Courtois
13,R16,Valencia 2019-2020,8.0,3.0,2.0,3.0,13.0,15.0,-2.0,11.0,14.7,15.7,-1.0,-0.13,31.599,"Rodrigo,Denis Cheryshev... -",Jasper Cillessen
14,R16,Chelsea 2019-2020,8.0,3.0,2.0,3.0,12.0,16.0,-4.0,11.0,17.5,12.7,4.7,0.59,38.845,Tammy Abraham-,Kepa Arrizabalaga
15,R16,Tottenham 2019-2020,8.0,3.0,1.0,4.0,18.0,18.0,0.0,10.0,14.5,11.2,3.3,0.42,57.247,Harry Kane-,"Hugo Lloris,Paulo Gazzaniga"
16,GR,Ajax 2019-2020,6.0,3.0,1.0,2.0,12.0,6.0,6.0,10.0,7.5,13.8,-6.3,-1.05,51.951,Quincy Promes-,André Onana
17,GR,RB Salzburg 2019-2020,6.0,2.0,1.0,3.0,16.0,13.0,3.0,7.0,13.7,11.9,1.8,0.3,29.52,Erling Haaland-,Cican Stankovic
18,GR,Inter 2019-2020,6.0,2.0,1.0,3.0,10.0,9.0,1.0,7.0,10.0,10.3,-0.3,-0.05,62.54,Lautaro Martínez-,Samir Handanović
19,GR,Benfica 2019-2020,6.0,2.0,1.0,3.0,10.0,11.0,-1.0,7.0,8.1,9.4,-1.3,-0.22,46.576,Pizzi-,Odisseas Vlachodimos
20,GR,Zenit 2019-2020,6.0,2.0,1.0,3.0,7.0,9.0,-2.0,7.0,6.1,9.5,-3.3,-0.55,51.106,"Sardar Azmoun,Artem Dzyuba-",Mikhail Kerzhakov
21,GR,Leverkusen 2019-2020,6.0,2.0,0.0,4.0,5.0,9.0,-4.0,6.0,6.7,6.8,0.0,-0.01,28.098,"Sven Bender,Kevin Volland-",Lukáš Hrádecký
22,GR,Shakhtar 2019-2020,6.0,1.0,3.0,2.0,8.0,13.0,-5.0,6.0,8.3,13.1,-4.8,-0.81,28.246,"Júnior Moraes,Manor Solomon-",Andriy Pyatov
23,GR,Dinamo Zagreb 2019-2020,6.0,1.0,2.0,3.0,10.0,13.0,-3.0,5.0,7.5,16.3,-8.8,-1.46,28.855,Mislav Oršić-,Dominik Livaković
24,GR,Olympiacos 2019-2020,6.0,1.0,1.0,4.0,8.0,14.0,-6.0,4.0,7.9,12.1,-4.3,-0.71,31.523,Youssef El-Arabi-,José Sá
25,GR,Loko Moscow 2019-2020,6.0,1.0,0.0,5.0,4.0,11.0,-7.0,3.0,6.0,13.1,-7.0,-1.17,26.557,Aleksei Miranchuk-,Guilherme Marinato
26,GR,Club Brugge 2019-2020,6.0,0.0,3.0,3.0,4.0,12.0,-8.0,3.0,7.4,10.4,-3.0,-0.51,26.957,Emmanuel Dennis-,Simon Mignolet
27,GR,Red Star 2019-2020,6.0,1.0,0.0,5.0,3.0,20.0,-17.0,3.0,4.0,19.8,-15.8,-2.64,43.263,"Richmond Boakye,Nemanja Milunović... -",Milan Borjan
28,GR,Slavia Prague 2019-2020,6.0,0.0,2.0,4.0,4.0,10.0,-6.0,2.0,9.4,12.2,-2.8,-0.46,19.303,Tomáš Souček-,Ondřej Kolář
29,GR,Galatasaray 2019-2020,6.0,0.0,2.0,4.0,1.0,14.0,-13.0,2.0,4.2,16.4,-12.2,-2.03,43.306,Adem Büyük-,Fernando Muslera
30,GR,Lille 2019-2020,6.0,0.0,1.0,5.0,4.0,14.0,-10.0,1.0,8.8,10.1,-1.3,-0.22,48.208,Victor Osimhen-,Mike Maignan
31,GR,Genk 2019-2020,6.0,0.0,1.0,5.0,5.0,20.0,-15.0,1.0,6.9,18.2,-11.3,-1.88,18.957,Mbwana Samatta-,Gaëtan Coucke
