id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
0,W,Bayern Munich 2012-2013,13.0,10.0,2.0,1.0,31.0,11.0,20.0,32.0,73.667,Thomas Müller-,Manuel Neuer
1,F,Dortmund 2012-2013,13.0,5.0,6.0,2.0,24.0,14.0,10.0,21.0,71.239,Robert Lewandowski-,Roman Weidenfeller
2,SF,Real Madrid 2012-2013,12.0,5.0,4.0,3.0,26.0,18.0,8.0,19.0,71.313,Cristiano Ronaldo-,Diego López
3,SF,Barcelona 2012-2013,12.0,4.0,5.0,3.0,18.0,17.0,1.0,17.0,81.477,Lionel Messi-,Víctor Valdés
4,QF,Paris S-G 2012-2013,10.0,6.0,3.0,1.0,20.0,8.0,12.0,21.0,43.868,Ezequiel Lavezzi-,Salvatore Sirigu
5,QF,Málaga 2012-2013,12.0,4.0,6.0,2.0,18.0,9.0,9.0,18.0,25.824,Eliseu-,Willy Caballero
6,QF,Juventus 2012-2013,10.0,4.0,5.0,1.0,17.0,8.0,9.0,17.0,36.047,Fabio Quagliarella-,Gianluigi Buffon
7,QF,Galatasaray 2012-2013,10.0,4.0,3.0,3.0,14.0,14.0,0.0,15.0,47.397,Burak Yılmaz-,Fernando Muslera
8,R16,Celtic 2012-2013,12.0,6.0,2.0,4.0,17.0,14.0,3.0,20.0,58.211,Georgios Samaras-,Fraser Forster
9,R16,Porto 2012-2013,8.0,5.0,1.0,2.0,11.0,6.0,5.0,16.0,33.909,Jackson Martínez-,Helton Arruda
10,R16,Valencia 2012-2013,8.0,4.0,2.0,2.0,14.0,8.0,6.0,14.0,30.679,Jonas-,Vicente Guaita
11,R16,Schalke 04 2012-2013,8.0,3.0,5.0,0.0,13.0,10.0,3.0,14.0,52.635,Klaas-Jan Huntelaar-,Lars Unnerstall
12,R16,Manchester Utd 2012-2013,8.0,4.0,2.0,2.0,11.0,9.0,2.0,14.0,73.582,"Javier Hernández,Robin van Persie-",David de Gea
13,R16,Arsenal 2012-2013,8.0,4.0,1.0,3.0,13.0,11.0,2.0,13.0,59.954,Lukas Podolski-,Vito Mannone
14,R16,Shakhtar 2012-2013,8.0,3.0,2.0,3.0,14.0,13.0,1.0,11.0,49.101,Willian-,Andriy Pyatov
15,R16,Milan 2012-2013,8.0,3.0,2.0,3.0,9.0,10.0,-1.0,11.0,40.981,"Stephan El Shaarawy,Alexandre Pato-",Christian Abbiati
16,GR,CFR Cluj 2012-2013,10.0,6.0,2.0,2.0,15.0,9.0,6.0,20.0,15.708,Rui Pedro-,Mário Felgueiras
17,GR,BATE Borisov 2012-2013,12.0,5.0,3.0,4.0,18.0,19.0,-1.0,18.0,25.542,"Vitali Rodionov,Renan Bardini Bressan-",Andrey Harbunow
18,GR,Dynamo Kyiv 2012-2013,10.0,4.0,3.0,3.0,13.0,14.0,-1.0,15.0,39.634,Oleh Husyev-,Maksym Koval
19,GR,Dinamo Zagreb 2012-2013,12.0,3.0,4.0,5.0,13.0,18.0,-5.0,13.0,5.89,Ivan Krstanović-,Ivan Kelava
20,GR,Anderlecht 2012-2013,10.0,3.0,3.0,4.0,18.0,11.0,7.0,12.0,17.317,Dieumerci Mbokani-,Silvio Proto
21,GR,Chelsea 2012-2013,6.0,3.0,1.0,2.0,16.0,10.0,6.0,10.0,40.689,Oscar-,Petr Čech
22,GR,Olympiacos 2012-2013,6.0,3.0,0.0,3.0,9.0,9.0,0.0,9.0,29.089,Kostas Mitroglou-,Roy Carroll
23,GR,Benfica 2012-2013,6.0,2.0,2.0,2.0,5.0,5.0,0.0,8.0,49.12,Óscar Cardozo-,Artur Moraes
24,GR,Zenit 2012-2013,6.0,2.0,1.0,3.0,6.0,9.0,-3.0,7.0,19.361,Danny-,Vyacheslav Malafeev
25,GR,Spartak Moscow 2012-2013,8.0,2.0,1.0,5.0,10.0,16.0,-6.0,7.0,50.637,Emmanuel Emenike-,"Andriy Dykan,Sergei Pesyakov..."
26,GR,Braga 2012-2013,8.0,1.0,2.0,5.0,9.0,15.0,-6.0,5.0,11.758,Alan-,Beto
27,GR,Ajax 2012-2013,6.0,1.0,1.0,4.0,8.0,16.0,-8.0,4.0,47.578,Siem de Jong-,Kenneth Vermeer
28,GR,Lille 2012-2013,8.0,1.0,1.0,6.0,6.0,14.0,-8.0,4.0,41.139,"Salomon Kalou,Gianni Bruno... -",Mickaël Landreau
29,GR,Manchester City 2012-2013,6.0,0.0,3.0,3.0,7.0,11.0,-4.0,3.0,43.206,Sergio Agüero-,Joe Hart
30,GR,Montpellier 2012-2013,6.0,0.0,2.0,4.0,6.0,12.0,-6.0,2.0,24.499,Younès Belhanda-,Geoffrey Jourdren
31,GR,Nordsjælland 2012-2013,6.0,0.0,1.0,5.0,4.0,22.0,-18.0,1.0,21.526,"Joshua John,Mikkel Beckmann... -",Jesper Hansen
