id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
0,W,Real Madrid 2016-2017,13.0,9.0,3.0,1.0,35.0,18.0,17.0,30.0,75.547,Cristiano Ronaldo-,Keylor Navas
1,F,Juventus 2016-2017,13.0,9.0,3.0,1.0,22.0,6.0,16.0,30.0,33.642,Gonzalo Higuaín-,Gianluigi Buffon
2,SF,Atlético Madrid 2016-2017,12.0,9.0,1.0,2.0,18.0,10.0,8.0,28.0,46.751,Antoine Griezmann-,Jan Oblak
3,SF,Monaco 2016-2017,12.0,5.0,3.0,4.0,19.0,19.0,0.0,18.0,13.471,Kylian Mbappé-,Danijel Subašić
4,QF,Barcelona 2016-2017,10.0,6.0,1.0,3.0,26.0,12.0,14.0,19.0,85.863,Lionel Messi-,Marc-André ter Stegen
5,QF,Bayern Munich 2016-2017,10.0,6.0,0.0,4.0,27.0,14.0,13.0,18.0,70.0,Robert Lewandowski-,Manuel Neuer
6,QF,Dortmund 2016-2017,10.0,5.0,2.0,3.0,28.0,16.0,12.0,17.0,63.698,Pierre-Emerick Aubameyang-,Roman Bürki
7,QF,Leicester City 2016-2017,10.0,5.0,2.0,3.0,11.0,10.0,1.0,17.0,31.471,Riyad Mahrez-,Kasper Schmeichel
8,R16,Paris S-G 2016-2017,8.0,4.0,3.0,1.0,18.0,13.0,5.0,15.0,45.516,Edinson Cavani-,Alphonse Areola
9,R16,Arsenal 2016-2017,8.0,4.0,2.0,2.0,20.0,16.0,4.0,14.0,59.869,"Mesut Özil,Theo Walcott-",David Ospina
10,R16,Sevilla 2016-2017,8.0,4.0,2.0,2.0,9.0,6.0,3.0,14.0,37.433,Wissam Ben Yedder-,Sergio Rico
11,R16,Manchester City 2016-2017,8.0,3.0,4.0,1.0,17.0,13.0,4.0,13.0,47.065,Sergio Agüero-,Willy Caballero
12,R16,Porto 2016-2017,8.0,3.0,2.0,3.0,9.0,6.0,3.0,11.0,38.794,André Silva-,Iker Casillas
13,R16,Napoli 2016-2017,8.0,3.0,2.0,3.0,13.0,14.0,-1.0,11.0,40.054,Dries Mertens-,Pepe Reina
14,R16,Benfica 2016-2017,8.0,3.0,2.0,3.0,11.0,14.0,-3.0,11.0,51.131,Eduardo Salvio-,Ederson
15,R16,Leverkusen 2016-2017,8.0,2.0,4.0,2.0,11.0,11.0,0.0,10.0,25.894,"Kevin Kampl,Kevin Volland... -",Bernd Leno
16,GR,FC Copenhagen 2016-2017,6.0,2.0,3.0,1.0,7.0,2.0,5.0,9.0,30.596,Mathias Jørgensen-,Robin Olsen
17,GR,Lyon 2016-2017,6.0,2.0,2.0,2.0,5.0,3.0,2.0,8.0,50.028,Corentin Tolisso-,Anthony Lopes
18,GR,Tottenham 2016-2017,6.0,2.0,1.0,3.0,6.0,6.0,0.0,7.0,77.519,Harry Kane-,Hugo Lloris
19,GR,Beşiktaş 2016-2017,6.0,1.0,4.0,1.0,9.0,14.0,-5.0,7.0,35.184,"Vincent Aboubakar,Ricardo Quaresma-",Tolga Zengin
20,GR,Dynamo Kyiv 2016-2017,6.0,1.0,2.0,3.0,8.0,6.0,2.0,5.0,25.055,"Derlis González,Vitaliy Buyalskyi... -",Artur Rudko
21,GR,Rostov 2016-2017,6.0,1.0,2.0,3.0,6.0,12.0,-6.0,5.0,14.419,Dmitry Poloz-,Soslan Dzhanayev
22,GR,M'Gladbach 2016-2017,6.0,1.0,2.0,3.0,5.0,12.0,-7.0,5.0,46.162,Lars Stindl-,Yann Sommer
23,GR,Legia Warsaw 2016-2017,6.0,1.0,1.0,4.0,9.0,24.0,-15.0,4.0,18.512,"Aleksandar Prijović,Miroslav Radović-",Arkadiusz Malarz
24,GR,Sporting CP 2016-2017,6.0,1.0,0.0,5.0,5.0,8.0,-3.0,3.0,45.583,Bruno César-,Rui Patrício
25,GR,CSKA Moscow 2016-2017,6.0,0.0,3.0,3.0,5.0,11.0,-6.0,3.0,23.147,Alan Dzagoev-,Igor Akinfeev
26,GR,Ludogorets 2016-2017,6.0,0.0,3.0,3.0,6.0,15.0,-9.0,3.0,22.946,Jonathan Cafu-,Vladislav Stoyanov
27,GR,Celtic 2016-2017,6.0,0.0,3.0,3.0,5.0,16.0,-11.0,3.0,57.781,Moussa Dembélé-,Craig Gordon
28,GR,PSV Eindhoven 2016-2017,6.0,0.0,2.0,4.0,4.0,11.0,-7.0,2.0,34.13,"Davy Pröpper,Luuk de Jong... -",Jeroen Zoet
29,GR,Basel 2016-2017,6.0,0.0,2.0,4.0,3.0,12.0,-9.0,2.0,33.83,"Seydou Doumbia,Renato Steffen... -",Tomáš Vaclík
30,GR,Club Brugge 2016-2017,6.0,0.0,0.0,6.0,2.0,14.0,-12.0,0.0,21.092,"Jelle Vossen,José Izquierdo-",Ludovic Butelle
